,Age,SkinType,SkinConcerns,SkinTyone,Skin Brightening
57484,25-34,Normal,Acne,Olive,Citrus Aurantifolia
57492,18-24,Normal,Aging,Tan,Citrus Aurantifolia
57502,18-24,Combination,Calluses,Light,Citrus Aurantifolia
57508,13-17,Normal,Blackheads,Olive,Citrus Aurantifolia
57524,18-24,Normal,Dullness,Medium,Citrus Aurantifolia
57546,18-24,Combination,Dark circles,Tan,Citrus Aurantifolia
57548,25-34,Dry,Acne,Olive,Citrus Aurantifolia
57554,55-120,Combination,Aging,Medium,Citrus Aurantifolia
57558,18-24,Combination,Dullness,Light,Citrus Aurantifolia
57560,25-34,Combination,Blackheads,Fair,Citrus Aurantifolia
57562,18-24,Dry,Sun damage,Porcelain,Citrus Aurantifolia
57570,35-44,Dry,Dark circles,Light,Citrus Aurantifolia
57572,35-44,Combination,Blackheads,Dark,Citrus Aurantifolia
57576,45-54,Dry,Aging,Fair,Citrus Aurantifolia
57578,25-34,Combination,Dullness,Fair,Citrus Aurantifolia
57586,25-34,Combination,Cellulite,Fair,Citrus Aurantifolia
57594,35-44,Combination,Aging,Medium,Citrus Aurantifolia
57600,35-44,Normal,Dullness,Light,Citrus Aurantifolia
57622,13-17,Normal,Acne,Light,Citrus Aurantifolia
57646,25-34,Dry,Blackheads,Fair,Citrus Aurantifolia
57652,13-17,Normal,Aging,Medium,Citrus Aurantifolia
57664,25-34,Normal,Acne,Tan,Citrus Aurantifolia
57666,25-34,Combination,Blackheads,Olive,Citrus Aurantifolia
57684,18-24,Oily,Acne,Olive,Citrus Aurantifolia
57688,55-120,Combination,Acne,Medium,Citrus Aurantifolia
57692,13-17,Normal,Aging,Light,Citrus Aurantifolia
57694,35-44,Oily,Aging,Light,Citrus Aurantifolia
57716,55-120,Combination,Sensitivity,Medium,Citrus Aurantifolia
57728,18-24,Dry,Dark circles,Olive,Citrus Aurantifolia
57740,13-17,Oily,Blackheads,Medium,Citrus Aurantifolia
57756,25-34,Dry,Aging,Porcelain,Citrus Aurantifolia
57758,18-24,Dry,Blackheads,Medium,Citrus Aurantifolia
57762,13-17,Combination,Acne,Tan,Citrus Aurantifolia
57766,55-120,Oily,Blackheads,Light,Citrus Aurantifolia
57778,35-44,Dry,Redness,Fair,Citrus Aurantifolia
57806,25-34,Combination,Sensitivity,Light,Citrus Aurantifolia
57810,55-120,Combination,Pores,Light,Citrus Aurantifolia
57820,25-34,Dry,Redness,Fair,Citrus Aurantifolia
57830,35-44,Combination,Blackheads,Medium,Citrus Aurantifolia
57842,25-34,Combination,Dullness,Medium,Citrus Aurantifolia
57856,55-120,Combination,Redness,Porcelain,Citrus Aurantifolia
57858,25-34,Oily,Acne,Tan,Citrus Aurantifolia
57868,55-120,Dry,Dullness,Medium,Citrus Aurantifolia
57874,45-54,Combination,Aging,Light,Citrus Aurantifolia
57880,35-44,Combination,Sun damage,Medium,Citrus Aurantifolia
57966,18-24,Dry,Dark circles,Light,Citrus Aurantifolia
57968,13-17,Combination,Blackheads,Olive,Citrus Aurantifolia
57996,35-44,Combination,Blackheads,Fair,Citrus Aurantifolia
58014,25-34,Combination,Dark circles,Dark,Citrus Aurantifolia
58032,18-24,Normal,Sensitivity,Light,Citrus Aurantifolia
58034,25-34,Normal,Sensitivity,Medium,Citrus Aurantifolia
58040,25-34,Dry,Sensitivity,Porcelain,"Papaya,Citrus Aurantifolia"
58041,25-34,Dry,Aging,Fair,"Papaya,Citrus Aurantifolia"
58042,25-34,Combination,Acne,Fair,"Papaya,Citrus Aurantifolia"
58043,25-34,Oily,Acne,Medium,"Papaya,Citrus Aurantifolia"
58044,18-24,Combination,Acne,Light,"Papaya,Citrus Aurantifolia"
58045,25-34,Combination,Acne,Light,"Papaya,Citrus Aurantifolia"
58046,45-54,Dry,Sensitivity,Light,"Papaya,Citrus Aurantifolia"
58047,25-34,Dry,Aging,Light,"Papaya,Citrus Aurantifolia"
58048,25-34,Combination,Aging,Medium,"Papaya,Citrus Aurantifolia"
58049,45-54,Dry,Blackheads,Light,"Papaya,Citrus Aurantifolia"
58050,35-44,Normal,Sun damage,Light,"Papaya,Citrus Aurantifolia"
58051,25-34,Oily,Acne,Tan,"Papaya,Citrus Aurantifolia"
58052,18-24,Dry,Acne,Olive,"Papaya,Citrus Aurantifolia"
58053,18-24,Combination,Acne,Fair,"Papaya,Citrus Aurantifolia"
58054,25-34,Oily,Acne,Light,"Papaya,Citrus Aurantifolia"
58055,18-24,Oily,Acne,Fair,"Papaya,Citrus Aurantifolia"
58056,18-24,Combination,Blackheads,Light,"Papaya,Citrus Aurantifolia"
58057,13-17,Oily,Acne,Light,"Papaya,Citrus Aurantifolia"
58058,25-34,Dry,Acne,Fair,"Papaya,Citrus Aurantifolia"
58059,18-24,Combination,Acne,Porcelain,"Papaya,Citrus Aurantifolia"
58060,25-34,Dry,Dullness,Medium,"Papaya,Citrus Aurantifolia"
58061,18-24,Oily,Acne,Light,"Papaya,Citrus Aurantifolia"
58062,25-34,Oily,Acne,Olive,"Papaya,Citrus Aurantifolia"
58063,18-24,Normal,Sensitivity,Light,"Papaya,Citrus Aurantifolia"
58064,25-34,Combination,Blackheads,Light,"Papaya,Citrus Aurantifolia"
58066,25-34,Combination,Acne,Dark,"Papaya,Citrus Aurantifolia"
58069,25-34,Combination,Sensitivity,Fair,"Papaya,Citrus Aurantifolia"
58070,35-44,Combination,Dark circles,Deep,"Papaya,Citrus Aurantifolia"
58072,18-24,Dry,Blackheads,Light,"Papaya,Citrus Aurantifolia"
58073,35-44,Combination,Acne,Fair,"Papaya,Citrus Aurantifolia"
58074,45-54,Dry,Dullness,Fair,"Papaya,Citrus Aurantifolia"
58075,18-24,Oily,Acne,Olive,"Papaya,Citrus Aurantifolia"
58076,13-17,Combination,Acne,Porcelain,"Papaya,Citrus Aurantifolia"
58077,18-24,Dry,Blackheads,Porcelain,"Papaya,Citrus Aurantifolia"
58079,55-120,Combination,Acne,Dark,"Papaya,Citrus Aurantifolia"
58080,25-34,Normal,Blackheads,Medium,"Papaya,Citrus Aurantifolia"
58081,25-34,Combination,Aging,Light,"Papaya,Citrus Aurantifolia"
58082,18-24,Oily,Acne,Deep,"Papaya,Citrus Aurantifolia"
58083,18-24,Combination,Dullness,Medium,"Papaya,Citrus Aurantifolia"
58085,18-24,Dry,Acne,Light,"Papaya,Citrus Aurantifolia"
58086,18-24,Normal,Acne,Medium,"Papaya,Citrus Aurantifolia"
58088,35-44,Normal,Pores,Olive,"Papaya,Citrus Aurantifolia"
58090,25-34,Dry,Sensitivity,Medium,"Papaya,Citrus Aurantifolia"
58094,25-34,Combination,Uneven skin tones,Medium,"Papaya,Citrus Aurantifolia"
58095,35-44,Combination,Acne,Porcelain,"Papaya,Citrus Aurantifolia"
58096,18-24,Combination,Acne,Deep,"Papaya,Citrus Aurantifolia"
58099,25-34,Dry,Acne,Light,"Papaya,Citrus Aurantifolia"
58101,18-24,Combination,Aging,Medium,"Papaya,Citrus Aurantifolia"
58105,18-24,Combination,Acne,Medium,"Papaya,Citrus Aurantifolia"
58106,25-34,Normal,Pores,Medium,"Papaya,Citrus Aurantifolia"
58108,25-34,Combination,Aging,Fair,"Papaya,Citrus Aurantifolia"
58109,25-34,Combination,Sun damage,Fair,"Papaya,Citrus Aurantifolia"
58110,25-34,Combination,Blackheads,Fair,"Papaya,Citrus Aurantifolia"
58111,35-44,Normal,Aging,Olive,"Papaya,Citrus Aurantifolia"
58118,18-24,Normal,Aging,Fair,"Papaya,Citrus Aurantifolia"
58120,18-24,Combination,Blackheads,Fair,"Papaya,Citrus Aurantifolia"
58121,25-34,Normal,Dullness,Light,"Papaya,Citrus Aurantifolia"
58122,25-34,Dry,Pores,Fair,"Papaya,Citrus Aurantifolia"
58123,25-34,Oily,Acne,Dark,"Papaya,Citrus Aurantifolia"
58125,13-17,Normal,Dullness,Olive,"Papaya,Citrus Aurantifolia"
58129,18-24,Combination,Sensitivity,Porcelain,"Papaya,Citrus Aurantifolia"
58131,18-24,Dry,Dark circles,Fair,"Papaya,Citrus Aurantifolia"
58134,18-24,Combination,Acne,Olive,"Papaya,Citrus Aurantifolia"
58136,25-34,Combination,Dark circles,Medium,"Papaya,Citrus Aurantifolia"
58137,25-34,Dry,Blackheads,Olive,"Papaya,Citrus Aurantifolia"
58138,18-24,Combination,Redness,Fair,"Papaya,Citrus Aurantifolia"
58139,18-24,Normal,Blackheads,Light,"Papaya,Citrus Aurantifolia"
58143,25-34,Combination,Acne,Medium,"Papaya,Citrus Aurantifolia"
58144,18-24,Combination,Dullness,Porcelain,"Papaya,Citrus Aurantifolia"
58147,25-34,Normal,Acne,Medium,"Papaya,Citrus Aurantifolia"
58149,55-120,Dry,Aging,Light,"Papaya,Citrus Aurantifolia"
58151,13-17,Combination,Sun damage,Medium,"Papaya,Citrus Aurantifolia"
58156,35-44,Normal,Acne,Tan,"Papaya,Citrus Aurantifolia"
58158,25-34,Combination,Dark circles,Dark,"Papaya,Citrus Aurantifolia"
58159,18-24,Dry,Aging,Deep,"Papaya,Citrus Aurantifolia"
58161,18-24,Combination,Aging,Porcelain,"Papaya,Citrus Aurantifolia"
58162,25-34,Normal,Acne,Olive,"Papaya,Citrus Aurantifolia"
58163,18-24,Combination,Aging,Light,"Papaya,Citrus Aurantifolia"
58165,25-34,Combination,Redness,Medium,"Papaya,Citrus Aurantifolia"
58168,18-24,Normal,Aging,Tan,"Papaya,Citrus Aurantifolia"
58170,18-24,Oily,Aging,Light,"Papaya,Citrus Aurantifolia"
58171,45-54,Combination,Acne,Tan,"Papaya,Citrus Aurantifolia"
58172,35-44,Oily,Blackheads,Medium,"Papaya,Citrus Aurantifolia"
58175,25-34,Dry,Dark circles,Medium,"Papaya,Citrus Aurantifolia"
58177,45-54,Combination,Acne,Porcelain,"Papaya,Citrus Aurantifolia"
58180,25-34,Normal,Dark circles,Deep,"Papaya,Citrus Aurantifolia"
58183,25-34,Dry,Redness,Tan,"Papaya,Citrus Aurantifolia"
58185,55-120,Combination,Dullness,Medium,"Papaya,Citrus Aurantifolia"
58186,13-17,Combination,Acne,Light,"Papaya,Citrus Aurantifolia"
58187,25-34,Combination,Dullness,Fair,"Papaya,Citrus Aurantifolia"
58188,18-24,Dry,Aging,Medium,"Papaya,Citrus Aurantifolia"
58190,25-34,Normal,Acne,Fair,"Papaya,Citrus Aurantifolia"
58191,25-34,Combination,Acne,Tan,"Papaya,Citrus Aurantifolia"
58192,25-34,Dry,Acne,Medium,"Papaya,Citrus Aurantifolia"
58198,35-44,Dry,Aging,Tan,"Papaya,Citrus Aurantifolia"
58200,25-34,Normal,Aging,Light,"Papaya,Citrus Aurantifolia"
58201,18-24,Oily,Acne,Medium,"Papaya,Citrus Aurantifolia"
58203,25-34,Oily,Acne,Fair,"Papaya,Citrus Aurantifolia"
58204,18-24,Dry,Acne,Fair,"Papaya,Citrus Aurantifolia"
58206,25-34,Normal,Redness,Tan,"Papaya,Citrus Aurantifolia"
58207,35-44,Combination,Blackheads,Fair,"Papaya,Citrus Aurantifolia"
58209,35-44,Combination,Acne,Light,"Papaya,Citrus Aurantifolia"
58211,25-34,Combination,Blackheads,Tan,"Papaya,Citrus Aurantifolia"
58214,25-34,Combination,Dark circles,Olive,"Papaya,Citrus Aurantifolia"
58219,25-34,Dry,Sensitivity,Light,"Papaya,Citrus Aurantifolia"
58221,18-24,Dry,Aging,Porcelain,"Papaya,Citrus Aurantifolia"
58222,55-120,Combination,Blackheads,Light,"Papaya,Citrus Aurantifolia"
58223,25-34,Normal,Acne,Light,"Papaya,Citrus Aurantifolia"
58224,25-34,Combination,Acne,Olive,"Papaya,Citrus Aurantifolia"
58225,25-34,Combination,Blackheads,Olive,"Papaya,Citrus Aurantifolia"
58228,18-24,Dry,Sensitivity,Medium,"Papaya,Citrus Aurantifolia"
58233,35-44,Dry,Blackheads,Deep,"Papaya,Citrus Aurantifolia"
58235,25-34,Combination,Blackheads,Medium,"Papaya,Citrus Aurantifolia"
58237,18-24,Normal,Sensitivity,Medium,"Papaya,Citrus Aurantifolia"
58240,18-24,Normal,Dullness,Fair,"Papaya,Citrus Aurantifolia"
58242,18-24,Normal,Dullness,Olive,"Papaya,Citrus Aurantifolia"
58243,25-34,Dry,Blackheads,Fair,"Papaya,Citrus Aurantifolia"
58244,18-24,Oily,Aging,Fair,"Papaya,Citrus Aurantifolia"
58245,13-17,Dry,Blackheads,Fair,"Papaya,Citrus Aurantifolia"
58249,25-34,Combination,Acne,Porcelain,"Papaya,Citrus Aurantifolia"
58251,18-24,Oily,Aging,Medium,"Papaya,Citrus Aurantifolia"
58253,55-120,Oily,Acne,Light,"Papaya,Citrus Aurantifolia"
58257,25-34,Dry,Redness,Fair,"Papaya,Citrus Aurantifolia"
58259,13-17,Combination,Sensitivity,Medium,"Papaya,Citrus Aurantifolia"
58260,25-34,Combination,Aging,Porcelain,"Papaya,Citrus Aurantifolia"
58268,18-24,Oily,Acne,Tan,"Papaya,Citrus Aurantifolia"
58270,25-34,Normal,Dark circles,Fair,"Papaya,Citrus Aurantifolia"
58271,25-34,Normal,Aging,Medium,"Papaya,Citrus Aurantifolia"
58273,35-44,Oily,Acne,Medium,"Papaya,Citrus Aurantifolia"
58279,55-120,Dry,Dullness,Light,"Papaya,Citrus Aurantifolia"
58281,55-120,Oily,Acne,Fair,"Papaya,Citrus Aurantifolia"
58282,25-34,Combination,Aging,Olive,"Papaya,Citrus Aurantifolia"
58284,18-24,Dry,Blackheads,Medium,"Papaya,Citrus Aurantifolia"
58285,25-34,Dry,Aging,Medium,"Papaya,Citrus Aurantifolia"
58288,55-120,Combination,Acne,Medium,"Papaya,Citrus Aurantifolia"
58293,55-120,Combination,Dark circles,Light,"Papaya,Citrus Aurantifolia"
58296,25-34,Dry,Sensitivity,Fair,"Papaya,Citrus Aurantifolia"
58299,13-17,Combination,Acne,Medium,"Papaya,Citrus Aurantifolia"
58301,35-44,Dry,Acne,Light,"Papaya,Citrus Aurantifolia"
58303,18-24,Combination,Dark circles,Dark,"Papaya,Citrus Aurantifolia"
58309,18-24,Dry,Redness,Porcelain,"Papaya,Citrus Aurantifolia"
58312,55-120,Combination,Acne,Fair,"Papaya,Citrus Aurantifolia"
58321,18-24,Combination,Sensitivity,Fair,"Papaya,Citrus Aurantifolia"
58322,35-44,Oily,Acne,Light,"Papaya,Citrus Aurantifolia"
58323,13-17,Combination,Dullness,Light,"Papaya,Citrus Aurantifolia"
58326,25-34,Normal,Aging,Fair,"Papaya,Citrus Aurantifolia"
58327,18-24,Combination,Redness,Light,"Papaya,Citrus Aurantifolia"
58328,25-34,Dry,Acne,Dark,"Papaya,Citrus Aurantifolia"
58332,18-24,Dry,Aging,Fair,"Papaya,Citrus Aurantifolia"
58335,13-17,Dry,Aging,Light,"Papaya,Citrus Aurantifolia"
58336,18-24,Combination,Acne,Dark,"Papaya,Citrus Aurantifolia"
58340,25-34,Combination,Aging,Deep,"Papaya,Citrus Aurantifolia"
58344,18-24,Dry,Redness,Light,"Papaya,Citrus Aurantifolia"
58345,13-17,Dry,Dullness,Porcelain,"Papaya,Citrus Aurantifolia"
58347,18-24,Normal,Blackheads,Fair,"Papaya,Citrus Aurantifolia"
58350,35-44,Dry,Aging,Fair,"Papaya,Citrus Aurantifolia"
58351,13-17,Dry,Acne,Light,"Papaya,Citrus Aurantifolia"
58359,55-120,Combination,Blackheads,Medium,"Papaya,Citrus Aurantifolia"
58366,25-34,Dry,Blackheads,Light,"Papaya,Citrus Aurantifolia"
58369,18-24,Dry,Aging,Tan,"Papaya,Citrus Aurantifolia"
58370,18-24,Normal,Dark circles,Medium,"Papaya,Citrus Aurantifolia"
58371,55-120,Dry,Acne,Fair,"Papaya,Citrus Aurantifolia"
58372,45-54,Dry,Acne,Medium,"Papaya,Citrus Aurantifolia"
58373,35-44,Dry,Acne,Medium,"Papaya,Citrus Aurantifolia"
58375,18-24,Oily,Blackheads,Ebony,"Papaya,Citrus Aurantifolia"
58383,25-34,Normal,Dullness,Tan,"Papaya,Citrus Aurantifolia"
58384,25-34,Dry,Redness,Medium,"Papaya,Citrus Aurantifolia"
58386,18-24,Combination,Aging,Deep,"Papaya,Citrus Aurantifolia"
58387,55-120,Combination,Acne,Light,"Papaya,Citrus Aurantifolia"
58389,18-24,Combination,Aging,Olive,"Papaya,Citrus Aurantifolia"
58396,25-34,Combination,Sun damage,Deep,"Papaya,Citrus Aurantifolia"
58397,25-34,Normal,Acne,Tan,"Papaya,Citrus Aurantifolia"
58398,18-24,Combination,Dullness,Light,"Papaya,Citrus Aurantifolia"
58400,25-34,Dry,Dark circles,Deep,"Papaya,Citrus Aurantifolia"
58401,55-120,Combination,Aging,Light,"Papaya,Citrus Aurantifolia"
58405,25-34,Combination,Blackheads,Porcelain,"Papaya,Citrus Aurantifolia"
58410,18-24,Combination,Cellulite,Tan,"Papaya,Citrus Aurantifolia"
58411,55-120,Dry,Sun damage,Porcelain,"Papaya,Citrus Aurantifolia"
58412,18-24,Dry,Aging,Light,"Papaya,Citrus Aurantifolia"
58414,25-34,Combination,Acne,Deep,"Papaya,Citrus Aurantifolia"
58422,55-120,Oily,Dark circles,Fair,"Papaya,Citrus Aurantifolia"
58424,18-24,Oily,Blackheads,Medium,"Papaya,Citrus Aurantifolia"
58426,18-24,Combination,Sensitivity,Tan,"Papaya,Citrus Aurantifolia"
58428,18-24,Combination,Cellulite,Olive,"Papaya,Citrus Aurantifolia"
58432,18-24,Combination,Blackheads,Medium,"Papaya,Citrus Aurantifolia"
58435,25-34,Combination,Sun damage,Olive,"Papaya,Citrus Aurantifolia"
58441,35-44,Normal,Blackheads,Fair,"Papaya,Citrus Aurantifolia"
58443,18-24,Dry,Cellulite,Porcelain,"Papaya,Citrus Aurantifolia"
58444,18-24,Dry,Dullness,Medium,"Papaya,Citrus Aurantifolia"
58447,25-34,Normal,Dark circles,Medium,"Papaya,Citrus Aurantifolia"
58449,25-34,Dry,Aging,Porcelain,"Papaya,Citrus Aurantifolia"
58452,25-34,Oily,Aging,Fair,"Papaya,Citrus Aurantifolia"
58453,25-34,Combination,Dullness,Tan,"Papaya,Citrus Aurantifolia"
58456,18-24,Oily,Dark circles,Deep,"Papaya,Citrus Aurantifolia"
58457,18-24,Combination,Sun damage,Olive,"Papaya,Citrus Aurantifolia"
58460,13-17,Combination,Dark circles,Ebony,"Papaya,Citrus Aurantifolia"
58463,25-34,Combination,Dullness,Light,"Papaya,Citrus Aurantifolia"
58464,18-24,Normal,Aging,Medium,"Papaya,Citrus Aurantifolia"
58469,18-24,Dry,Redness,Deep,"Papaya,Citrus Aurantifolia"
58470,18-24,Combination,Aging,Fair,"Papaya,Citrus Aurantifolia"
58478,25-34,Combination,Dark circles,Deep,"Papaya,Citrus Aurantifolia"
58482,25-34,Normal,Sensitivity,Deep,"Papaya,Citrus Aurantifolia"
58483,18-24,Normal,Sun damage,Light,"Papaya,Citrus Aurantifolia"
58486,55-120,Dry,Blackheads,Tan,"Papaya,Citrus Aurantifolia"
58491,18-24,Dry,Dark circles,Light,"Papaya,Citrus Aurantifolia"
58499,18-24,Combination,Dark circles,Tan,"Papaya,Citrus Aurantifolia"
58501,18-24,Combination,Dark circles,Deep,"Papaya,Citrus Aurantifolia"
58502,25-34,Oily,Blackheads,Olive,"Papaya,Citrus Aurantifolia"
58503,18-24,Dry,Pores,Light,"Papaya,Citrus Aurantifolia"
58507,18-24,Normal,Acne,Light,"Papaya,Citrus Aurantifolia"
58509,13-17,Oily,Acne,Deep,"Papaya,Citrus Aurantifolia"
58514,25-34,Dry,Sun damage,Porcelain,"Papaya,Citrus Aurantifolia"
58515,25-34,Normal,Aging,Olive,"Papaya,Citrus Aurantifolia"
58517,18-24,Normal,Dullness,Deep,"Papaya,Citrus Aurantifolia"
58522,18-24,Combination,Dark circles,Light,"Papaya,Citrus Aurantifolia"
58537,25-34,Combination,Aging,Dark,"Papaya,Citrus Aurantifolia"
58539,55-120,Dry,Aging,Medium,"Papaya,Citrus Aurantifolia"
58544,18-24,Dry,Acne,Medium,"Papaya,Citrus Aurantifolia"
58552,13-17,Dry,Dullness,Light,"Papaya,Citrus Aurantifolia"
58554,25-34,Oily,Aging,Light,"Papaya,Citrus Aurantifolia"
58555,25-34,Oily,Acne,Deep,"Papaya,Citrus Aurantifolia"
58560,18-24,Dry,Acne,Tan,"Papaya,Citrus Aurantifolia"
58567,55-120,Normal,Acne,Light,"Papaya,Citrus Aurantifolia"
58571,18-24,Normal,Aging,Light,"Papaya,Citrus Aurantifolia"
58573,25-34,Normal,Blackheads,Light,"Papaya,Citrus Aurantifolia"
58575,55-120,Oily,Acne,Porcelain,"Papaya,Citrus Aurantifolia"
58577,18-24,Combination,Sun damage,Tan,"Papaya,Citrus Aurantifolia"
58581,25-34,Dry,Acne,Tan,"Papaya,Citrus Aurantifolia"
58583,18-24,Dry,Redness,Medium,"Papaya,Citrus Aurantifolia"
58584,25-34,Dry,Acne,Deep,"Papaya,Citrus Aurantifolia"
58588,35-44,Combination,Dark circles,Light,"Papaya,Citrus Aurantifolia"
58589,13-17,Combination,Dark circles,Medium,"Papaya,Citrus Aurantifolia"
58595,45-54,Combination,Acne,Fair,"Papaya,Citrus Aurantifolia"
58596,35-44,Combination,Acne,Medium,"Papaya,Citrus Aurantifolia"
58600,25-34,Dry,Cellulite,Fair,"Papaya,Citrus Aurantifolia"
58601,25-34,Oily,Dark circles,Light,"Papaya,Citrus Aurantifolia"
58604,18-24,Oily,Blackheads,Light,"Papaya,Citrus Aurantifolia"
58605,18-24,Normal,Acne,Fair,"Papaya,Citrus Aurantifolia"
58610,25-34,Normal,Aging,Tan,"Papaya,Citrus Aurantifolia"
58613,18-24,Combination,Blackheads,Porcelain,"Papaya,Citrus Aurantifolia"
58615,25-34,Normal,Dullness,Medium,"Papaya,Citrus Aurantifolia"
58616,13-17,Dry,Dullness,Fair,"Papaya,Citrus Aurantifolia"
58618,18-24,Dry,Acne,Porcelain,"Papaya,Citrus Aurantifolia"
58621,25-34,Dry,Sensitivity,Olive,"Papaya,Citrus Aurantifolia"
58623,18-24,Dry,Blackheads,Fair,"Papaya,Citrus Aurantifolia"
58631,18-24,Combination,Blackheads,Ebony,"Papaya,Citrus Aurantifolia"
58633,18-24,Oily,Aging,Dark,"Papaya,Citrus Aurantifolia"
58634,25-34,Combination,Dark circles,Light,"Papaya,Citrus Aurantifolia"
58639,18-24,Combination,Cellulite,Medium,"Papaya,Citrus Aurantifolia"
58642,25-34,Dry,Dullness,Olive,"Papaya,Citrus Aurantifolia"
58647,18-24,Combination,Acne,Ebony,"Papaya,Citrus Aurantifolia"
58649,25-34,Combination,Sun damage,Dark,"Papaya,Citrus Aurantifolia"
58650,35-44,Combination,Aging,Dark,"Papaya,Citrus Aurantifolia"
58652,35-44,Dry,Aging,Medium,"Papaya,Citrus Aurantifolia"
58654,18-24,Normal,Blackheads,Medium,"Papaya,Citrus Aurantifolia"
58657,35-44,Normal,Sensitivity,Medium,"Papaya,Citrus Aurantifolia"
58660,55-120,Combination,Blackheads,Porcelain,"Papaya,Citrus Aurantifolia"
58669,18-24,Dry,Acne,Deep,"Papaya,Citrus Aurantifolia"
58674,45-54,Normal,Acne,Tan,"Papaya,Citrus Aurantifolia"
58678,25-34,Dry,Blackheads,Medium,"Papaya,Citrus Aurantifolia"
58681,18-24,Dry,Dark circles,Olive,"Papaya,Citrus Aurantifolia"
58685,18-24,Dry,Sensitivity,Deep,"Papaya,Citrus Aurantifolia"
58686,35-44,Oily,Acne,Deep,"Papaya,Citrus Aurantifolia"
58692,13-17,Combination,Blackheads,Medium,"Papaya,Citrus Aurantifolia"
58693,55-120,Normal,Aging,Light,"Papaya,Citrus Aurantifolia"
58697,55-120,Combination,Dark circles,Deep,"Papaya,Citrus Aurantifolia"
58703,18-24,Combination,Acne,Tan,"Papaya,Citrus Aurantifolia"
58704,25-34,Combination,Dark circles,Tan,"Papaya,Citrus Aurantifolia"
58718,25-34,Dry,Dark circles,Fair,"Papaya,Citrus Aurantifolia"
58719,35-44,Dry,Blackheads,Light,"Papaya,Citrus Aurantifolia"
58721,13-17,Normal,Aging,Fair,"Papaya,Citrus Aurantifolia"
58731,18-24,Dry,Cellulite,Light,"Papaya,Citrus Aurantifolia"
58732,18-24,Oily,Acne,Porcelain,"Papaya,Citrus Aurantifolia"
58734,18-24,Dry,Sensitivity,Olive,"Papaya,Citrus Aurantifolia"
58740,45-54,Combination,Acne,Dark,"Papaya,Citrus Aurantifolia"
58742,18-24,Normal,Uneven skin tones,Olive,"Papaya,Citrus Aurantifolia"
58744,55-120,Normal,Dark circles,Deep,"Papaya,Citrus Aurantifolia"
58745,55-120,Dry,Blackheads,Light,"Papaya,Citrus Aurantifolia"
58749,55-120,Combination,Dullness,Dark,"Papaya,Citrus Aurantifolia"
58756,13-17,Combination,Sensitivity,Deep,"Papaya,Citrus Aurantifolia"
58758,55-120,Combination,Sensitivity,Fair,"Papaya,Citrus Aurantifolia"
58762,55-120,Dry,Acne,Porcelain,"Papaya,Citrus Aurantifolia"
58768,25-34,Dry,Dullness,Light,"Papaya,Citrus Aurantifolia"
58769,35-44,Normal,Dark circles,Medium,"Papaya,Citrus Aurantifolia"
58770,25-34,Dry,Dark circles,Light,"Papaya,Citrus Aurantifolia"
58771,18-24,Oily,Redness,Light,"Papaya,Citrus Aurantifolia"
58775,25-34,Combination,Dullness,Medium,"Papaya,Citrus Aurantifolia"
58777,55-120,Combination,Redness,Light,"Papaya,Citrus Aurantifolia"
58780,25-34,Dry,Dullness,Fair,"Papaya,Citrus Aurantifolia"
58782,45-54,Oily,Acne,Tan,"Papaya,Citrus Aurantifolia"
58787,18-24,Normal,Redness,Light,"Papaya,Citrus Aurantifolia"
58821,18-24,Combination,Sensitivity,Olive,"Papaya,Citrus Aurantifolia"
58824,18-24,Combination,Sensitivity,Dark,"Papaya,Citrus Aurantifolia"
58831,18-24,Normal,Sensitivity,Fair,"Papaya,Citrus Aurantifolia"
58835,25-34,Oily,Blackheads,Medium,"Papaya,Citrus Aurantifolia"
58839,13-17,Combination,Sun damage,Olive,"Papaya,Citrus Aurantifolia"
58840,45-54,Normal,Aging,Light,"Papaya,Citrus Aurantifolia"
58843,35-44,Combination,Blackheads,Tan,"Papaya,Citrus Aurantifolia"
58845,13-17,Combination,Acne,Fair,"Papaya,Citrus Aurantifolia"
58849,35-44,Combination,Aging,Light,"Papaya,Citrus Aurantifolia"
58869,45-54,Combination,Sensitivity,Medium,"Papaya,Citrus Aurantifolia"
58878,25-34,Normal,Sun damage,Fair,"Papaya,Citrus Aurantifolia"
58879,55-120,Combination,Acne,Tan,"Papaya,Citrus Aurantifolia"
58880,18-24,Normal,Sun damage,Olive,"Papaya,Citrus Aurantifolia"
58881,35-44,Combination,Aging,Medium,"Papaya,Citrus Aurantifolia"
58883,18-24,Combination,Blackheads,Tan,"Papaya,Citrus Aurantifolia"
58892,25-34,Dry,Dark circles,Tan,"Papaya,Citrus Aurantifolia"
58900,45-54,Dry,Aging,Light,"Papaya,Citrus Aurantifolia"
58909,13-17,Combination,Aging,Dark,"Papaya,Citrus Aurantifolia"
58911,25-34,Combination,Pores,Porcelain,"Papaya,Citrus Aurantifolia"
58914,35-44,Combination,Sensitivity,Medium,"Papaya,Citrus Aurantifolia"
58915,18-24,Normal,Aging,Deep,"Papaya,Citrus Aurantifolia"
58923,18-24,Oily,Aging,Porcelain,"Papaya,Citrus Aurantifolia"
58938,35-44,Normal,Acne,Light,"Papaya,Citrus Aurantifolia"
58940,18-24,Dry,Dark circles,Medium,"Papaya,Citrus Aurantifolia"
58942,18-24,Normal,Dark circles,Tan,"Papaya,Citrus Aurantifolia"
